## characters mapping for windows-1250 encoding
## make sure this file is saved in proper encoding!
## :<symbol>, <x>, <y>, <width>, <height>

## row 2x
: , 4, 4, 3, 13
:!, 11, 4, 1, 13
:", 16, 4, 3, 13
:#, 23, 4, 5, 13
:$, 32, 4, 3, 13
:%, 39, 4, 7, 13
:&, 50, 4, 6, 13
:', 60, 4, 1, 13
:(, 65, 4, 2, 13
:), 71, 4, 2, 13
:*, 77, 4, 3, 13
:+, 84, 4, 5, 13
:,, 93, 4, 1, 13
:-, 98, 4, 3, 13
:., 105, 4, 1, 13
:/, 110, 4, 3, 13

## row 3x
:0, 4, 21, 4, 13
:1, 12, 21, 2, 13
:2, 18, 21, 3, 13
:3, 25, 21, 3, 13
:4, 32, 21, 4, 13
:5, 40, 21, 3, 13
:6, 47, 21, 4, 13
:7, 55, 21, 3, 13
:8, 62, 21, 4, 13
:9, 70, 21, 4, 13
::, 78, 21, 1, 13
:;, 83, 21, 1, 13
:<, 88, 21, 3, 13
:=, 95, 21, 4, 13
:>, 103, 21, 3, 13
:?, 110, 21, 3, 13

## row 4x
:@, 4, 38, 7, 13
:A, 15, 38, 4, 13
:B, 23, 38, 4, 13
:C, 31, 38, 3, 13
:D, 38, 38, 4, 13
:E, 46, 38, 4, 13
:F, 53, 38, 3, 13
:G, 60, 38, 4, 13
:H, 68, 38, 4, 13
:I, 76, 38, 1, 13
:J, 81, 38, 2, 13
:K, 87, 38, 4, 13
:L, 95, 38, 3, 13
:M, 102, 38, 5, 13
:N, 111, 38, 4, 13
:O, 119, 38, 4, 13

## row 5x
:P, 4, 55, 4, 13
:Q, 12, 55, 4, 13
:R, 20, 55, 4, 13
:S, 28, 55, 3, 13
:T, 35, 55, 3, 13
:U, 42, 55, 4, 13
:V, 50, 55, 5, 13
:W, 59, 55, 5, 13
:X, 68, 55, 5, 13
:Y, 77, 55, 5, 13
:Z, 86, 55, 3, 13
:[, 93, 55, 2, 13
:\, 99, 55, 3, 13
:], 106, 55, 2, 13
:^, 112, 55, 3, 13
:_, 119, 55, 5, 13

## row 6x
:`, 4, 72, 3, 13
:a, 11, 72, 4, 13
:b, 19, 72, 4, 13
:c, 27, 72, 3, 13
:d, 34, 72, 4, 13
:e, 42, 72, 4, 13
:f, 50, 72, 3, 13
:g, 57, 72, 4, 13
:h, 65, 72, 4, 13
:i, 73, 72, 1, 13
:j, 79, 72, 2, 13
:k, 84, 72, 4, 13
:l, 92, 72, 1, 13
:m, 97, 72, 7, 13
:n, 108, 72, 4, 13
:o, 116, 72, 4, 13

## row 7x
:p, 4, 89, 4, 13
:q, 12, 89, 5, 13
:r, 21, 89, 3, 13
:s, 28, 89, 3, 13
:t, 35, 89, 3, 13
:u, 42, 89, 4, 13
:v, 50, 89, 5, 13
:w, 59, 89, 7, 13
:x, 70, 89, 5, 13
:y, 79, 89, 4, 13
:z, 87, 89, 3, 13
:{, 94, 89, 3, 13
:|, 101, 89, 1, 13
:}, 106, 89, 3, 13
:~, 113, 89, 5, 13
:, 122, 89, 12, 13

## row 8x
:Ç, 93, 4, 1, 13
:Ñ, 50, 174, 4, 13
:ä, 4, 293, 3, 13
:ã, 88, 21, 3, 13
:å, 11, 293, 3, 13
:ç, 25, 293, 3, 13
:é, 32, 293, 3, 13
:è, 39, 293, 3, 13

## row 9x
:ë, 44, 174, 2, 13
:í, 44, 174, 2, 13
:ì, 58, 174, 4, 13
:î, 58, 174, 4, 13
:ö, 84, 293, 3, 13
:õ, 103, 21, 3, 13
:ú, 91, 293, 3, 13
:ù, 105, 293, 3, 13
:û, 112, 293, 3, 13
:ü, 66, 174, 3, 13

## row Ax
:£, 53, 293, 4, 13
:•, 124, 276, 4, 13
:™, 18, 293, 3, 13
:´, 16, 174, 6, 13
:Ø, 46, 293, 3, 13

## row Bx
:≥, 77, 293, 3, 13
:π, 80, 174, 4, 13
:∫, 98, 293, 3, 13
:ª, 28, 174, 6, 13
:º, 61, 293, 4, 13
:Ω, 58, 174, 4, 13
:æ, 69, 293, 4, 13
:ø, 73, 174, 3, 13

## row Cx
:¿, 4, 259, 4, 13
:¡, 12, 106, 4, 13
:¬, 20, 106, 4, 13
:√, 12, 259, 4, 13
:ƒ, 36, 106, 4, 13
:≈, 20, 259, 3, 13
:∆, 27, 259, 3, 13
:«, 62, 106, 3, 13
:», 34, 259, 3, 13
:…, 76, 106, 3, 13
: , 41, 259, 3, 13
:À, 90, 106, 3, 13
:Ã, 48, 259, 3, 13
:Õ, 103, 106, 2, 13
:Œ, 109, 106, 3, 13
:œ, 55, 259, 4, 13

## row Dx
:–, 4, 123, 5, 13
:—, 63, 259, 4, 13
:“, 71, 259, 4, 13
:”, 29, 123, 4, 13
:‘, 37, 123, 4, 13
:’, 79, 259, 4, 13
:÷, 53, 123, 4, 13
:◊, 61, 123, 5, 13
:ÿ, 88, 259, 4, 13
:Ÿ, 96, 259, 4, 13
:⁄, 88, 123, 4, 13
:€, 104, 259, 4, 13
:‹, 104, 123, 4, 13
:›, 112, 123, 5, 13
:ﬁ, 112, 259, 3, 13
